STATISTIC Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2010Q4,10 Dublin Metropolitan Region,Perverting the course of justice,Number,5
Recorded crime incidents,2010Q4,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1493
Recorded crime incidents,2010Q4,20 North Western Region,Homicide offences,Number,4
Recorded crime incidents,2010Q4,20 North Western Region,Murder,Number,2
Recorded crime incidents,2010Q4,20 North Western Region,Manslaughter,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Dangerous driving leading to death,Number,2
Recorded crime incidents,2010Q4,20 North Western Region,Sexual offences,Number,79
Recorded crime incidents,2010Q4,20 North Western Region,Rape and sexual assault,Number,75
Recorded crime incidents,2010Q4,20 North Western Region,Other sexual offences,Number,4
Recorded crime incidents,2010Q4,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,960
Recorded crime incidents,2010Q4,20 North Western Region,Murder-attempt,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Threat to kill or cause serious harm,Number,12
Recorded crime incidents,2010Q4,20 North Western Region,Harassment and related offences,Number,155
Recorded crime incidents,2010Q4,20 North Western Region,"Assault causing harm, poisoning",Number,178
Recorded crime incidents,2010Q4,20 North Western Region,Other assault,Number,615
Recorded crime incidents,2010Q4,20 North Western Region,Dangerous or negligent acts,Number,597
Recorded crime incidents,2010Q4,20 North Western Region,Dangerous driving causing serious bodily harm,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,561
Recorded crime incidents,2010Q4,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,10
Recorded crime incidents,2010Q4,20 North Western Region,Endangerment with potential for serious harm/death,Number,1
Recorded crime incidents,2010Q4,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,9
Recorded crime incidents,2010Q4,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Endangering traffic offences,Number,16
Recorded crime incidents,2010Q4,20 North Western Region,Kidnapping and related offences,Number,8
Recorded crime incidents,2010Q4,20 North Western Region,False imprisonment,Number,7
Recorded crime incidents,2010Q4,20 North Western Region,Abduction of person under 16 years of age,Number,1
Recorded crime incidents,2010Q4,20 North Western Region,Human trafficking offences,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,"Robbery, extortion and hijacking offences",Number,60
Recorded crime incidents,2010Q4,20 North Western Region,Robbery of an establishment or institution,Number,19
Recorded crime incidents,2010Q4,20 North Western Region,Robbery of cash or goods in transit,Number,1
Recorded crime incidents,2010Q4,20 North Western Region,Robbery from the person,Number,38
Recorded crime incidents,2010Q4,20 North Western Region,Blackmail or extortion,Number,1
Recorded crime incidents,2010Q4,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,1
Recorded crime incidents,2010Q4,20 North Western Region,Burglary and related offences,Number,1003
Recorded crime incidents,2010Q4,20 North Western Region,Aggravated burglary,Number,15
Recorded crime incidents,2010Q4,20 North Western Region,Burglary (not aggravated),Number,977
Recorded crime incidents,2010Q4,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,11
Recorded crime incidents,2010Q4,20 North Western Region,Theft and related offences,Number,2294
Recorded crime incidents,2010Q4,20 North Western Region,Theft/taking of vehicle and related offences,Number,333
Recorded crime incidents,2010Q4,20 North Western Region,Theft from person,Number,39
Recorded crime incidents,2010Q4,20 North Western Region,Theft from shop,Number,593
Recorded crime incidents,2010Q4,20 North Western Region,"Other thefts, handling stolen property",Number,1329
Recorded crime incidents,2010Q4,20 North Western Region,"Fraud, deception and related offences",Number,248
Recorded crime incidents,2010Q4,20 North Western Region,Controlled drug offences,Number,504
Recorded crime incidents,2010Q4,20 North Western Region,Importation of drugs,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Cultivation or manufacture of drugs,Number,18
Recorded crime incidents,2010Q4,20 North Western Region,Possession of drugs for sale or supply,Number,90
Recorded crime incidents,2010Q4,20 North Western Region,Possession of drugs for personal use,Number,380
Recorded crime incidents,2010Q4,20 North Western Region,Other drug offences,Number,16
Recorded crime incidents,2010Q4,20 North Western Region,Weapons and Explosives Offences,Number,234
Recorded crime incidents,2010Q4,20 North Western Region,"Explosives, chemical weapons offences",Number,3
Recorded crime incidents,2010Q4,20 North Western Region,Discharging a firearm,Number,4
Recorded crime incidents,2010Q4,20 North Western Region,Possession of a firearm,Number,16
Recorded crime incidents,2010Q4,20 North Western Region,Offensive weapons offences (n.e.c.),Number,81
Recorded crime incidents,2010Q4,20 North Western Region,Fireworks offences,Number,130
Recorded crime incidents,2010Q4,20 North Western Region,Damage to property and to the environment,Number,1611
Recorded crime incidents,2010Q4,20 North Western Region,Arson,Number,115
Recorded crime incidents,2010Q4,20 North Western Region,Criminal damage (not arson),Number,1487
Recorded crime incidents,2010Q4,20 North Western Region,Litter offences,Number,9
Recorded crime incidents,2010Q4,20 North Western Region,Public order and other social code offences,Number,2779
Recorded crime incidents,2010Q4,20 North Western Region,Disorderly conduct,Number,2469
Recorded crime incidents,2010Q4,20 North Western Region,Trespass offences,Number,131
Recorded crime incidents,2010Q4,20 North Western Region,Liquor licensing offences,Number,134
Recorded crime incidents,2010Q4,20 North Western Region,Prostitution offences,Number,10
Recorded crime incidents,2010Q4,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,22
Recorded crime incidents,2010Q4,20 North Western Region,Social code offences (n.e.c.),Number,13
Recorded crime incidents,2010Q4,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,290
Recorded crime incidents,2010Q4,20 North Western Region,Offences against government and its agents,Number,9
Recorded crime incidents,2010Q4,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded crime incidents,2010Q4,20 North Western Region,Perverting the course of justice,Number,6
Recorded crime incidents,2010Q4,20 North Western Region,"Offences while in custody, breach of court orders",Number,275
Recorded crime incidents,2010Q4,30 Eastern Region,Homicide offences,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,Murder,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Manslaughter,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Infanticide,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Dangerous driving leading to death,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,Sexual offences,Number,95
Recorded crime incidents,2010Q4,30 Eastern Region,Rape and sexual assault,Number,90
Recorded crime incidents,2010Q4,30 Eastern Region,Other sexual offences,Number,5
Recorded crime incidents,2010Q4,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1038
Recorded crime incidents,2010Q4,30 Eastern Region,Murder-attempt,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Threat to kill or cause serious harm,Number,14
Recorded crime incidents,2010Q4,30 Eastern Region,Harassment and related offences,Number,151
Recorded crime incidents,2010Q4,30 Eastern Region,"Assault causing harm, poisoning",Number,232
Recorded crime incidents,2010Q4,30 Eastern Region,Other assault,Number,641
Recorded crime incidents,2010Q4,30 Eastern Region,Dangerous or negligent acts,Number,627
Recorded crime incidents,2010Q4,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,573
Recorded crime incidents,2010Q4,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,30
Recorded crime incidents,2010Q4,30 Eastern Region,Endangerment with potential for serious harm/death,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,3
Recorded crime incidents,2010Q4,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,Endangering traffic offences,Number,21
Recorded crime incidents,2010Q4,30 Eastern Region,Kidnapping and related offences,Number,9
Recorded crime incidents,2010Q4,30 Eastern Region,False imprisonment,Number,7
Recorded crime incidents,2010Q4,30 Eastern Region,Abduction of person under 16 years of age,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,Human trafficking offences,Number,0
Recorded crime incidents,2010Q4,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,128
Recorded crime incidents,2010Q4,30 Eastern Region,Robbery of an establishment or institution,Number,74
Recorded crime incidents,2010Q4,30 Eastern Region,Robbery of cash or goods in transit,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,Robbery from the person,Number,42
Recorded crime incidents,2010Q4,30 Eastern Region,Blackmail or extortion,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,8
Recorded crime incidents,2010Q4,30 Eastern Region,Burglary and related offences,Number,1834
Recorded crime incidents,2010Q4,30 Eastern Region,Aggravated burglary,Number,26
Recorded crime incidents,2010Q4,30 Eastern Region,Burglary (not aggravated),Number,1792
Recorded crime incidents,2010Q4,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,16
Recorded crime incidents,2010Q4,30 Eastern Region,Theft and related offences,Number,3816
Recorded crime incidents,2010Q4,30 Eastern Region,Theft/taking of vehicle and related offences,Number,537
Recorded crime incidents,2010Q4,30 Eastern Region,Theft from person,Number,59
Recorded crime incidents,2010Q4,30 Eastern Region,Theft from shop,Number,1041
Recorded crime incidents,2010Q4,30 Eastern Region,"Other thefts, handling stolen property",Number,2179
Recorded crime incidents,2010Q4,30 Eastern Region,"Fraud, deception and related offences",Number,227
Recorded crime incidents,2010Q4,30 Eastern Region,Controlled drug offences,Number,828
Recorded crime incidents,2010Q4,30 Eastern Region,Importation of drugs,Number,1
Recorded crime incidents,2010Q4,30 Eastern Region,Cultivation or manufacture of drugs,Number,38
Recorded crime incidents,2010Q4,30 Eastern Region,Possession of drugs for sale or supply,Number,152
Recorded crime incidents,2010Q4,30 Eastern Region,Possession of drugs for personal use,Number,613
Recorded crime incidents,2010Q4,30 Eastern Region,Other drug offences,Number,24
Recorded crime incidents,2010Q4,30 Eastern Region,Weapons and Explosives Offences,Number,251
Recorded crime incidents,2010Q4,30 Eastern Region,"Explosives, chemical weapons offences",Number,4
Recorded crime incidents,2010Q4,30 Eastern Region,Discharging a firearm,Number,9
Recorded crime incidents,2010Q4,30 Eastern Region,Possession of a firearm,Number,13
Recorded crime incidents,2010Q4,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,128
Recorded crime incidents,2010Q4,30 Eastern Region,Fireworks offences,Number,97
Recorded crime incidents,2010Q4,30 Eastern Region,Damage to property and to the environment,Number,2232
Recorded crime incidents,2010Q4,30 Eastern Region,Arson,Number,174
Recorded crime incidents,2010Q4,30 Eastern Region,Criminal damage (not arson),Number,2046
Recorded crime incidents,2010Q4,30 Eastern Region,Litter offences,Number,12
Recorded crime incidents,2010Q4,30 Eastern Region,Public order and other social code offences,Number,2711
Recorded crime incidents,2010Q4,30 Eastern Region,Disorderly conduct,Number,2334
Recorded crime incidents,2010Q4,30 Eastern Region,Trespass offences,Number,202
Recorded crime incidents,2010Q4,30 Eastern Region,Liquor licensing offences,Number,135
Recorded crime incidents,2010Q4,30 Eastern Region,Prostitution offences,Number,2
Recorded crime incidents,2010Q4,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,23
Recorded crime incidents,2010Q4,30 Eastern Region,Social code offences (n.e.c.),Number,15
Recorded crime incidents,2010Q4,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,405
Recorded crime incidents,2010Q4,30 Eastern Region,Offences against government and its agents,Number,9
Recorded crime incidents,2010Q4,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,3
Recorded crime incidents,2010Q4,30 Eastern Region,Perverting the course of justice,Number,6
Recorded crime incidents,2010Q4,30 Eastern Region,"Offences while in custody, breach of court orders",Number,387
Recorded crime incidents,2010Q4,40 Southern Region,Homicide offences,Number,11
Recorded crime incidents,2010Q4,40 Southern Region,Murder,Number,7
Recorded crime incidents,2010Q4,40 Southern Region,Manslaughter,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Infanticide,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Dangerous driving leading to death,Number,4
Recorded crime incidents,2010Q4,40 Southern Region,Sexual offences,Number,94
Recorded crime incidents,2010Q4,40 Southern Region,Rape and sexual assault,Number,86
Recorded crime incidents,2010Q4,40 Southern Region,Other sexual offences,Number,8
Recorded crime incidents,2010Q4,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1021
Recorded crime incidents,2010Q4,40 Southern Region,Murder-attempt,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Threat to kill or cause serious harm,Number,17
Recorded crime incidents,2010Q4,40 Southern Region,Harassment and related offences,Number,98
Recorded crime incidents,2010Q4,40 Southern Region,"Assault causing harm, poisoning",Number,195
Recorded crime incidents,2010Q4,40 Southern Region,Other assault,Number,711
Recorded crime incidents,2010Q4,40 Southern Region,Dangerous or negligent acts,Number,710
Recorded crime incidents,2010Q4,40 Southern Region,Dangerous driving causing serious bodily harm,Number,1
Recorded crime incidents,2010Q4,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,640
Recorded crime incidents,2010Q4,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,43
Recorded crime incidents,2010Q4,40 Southern Region,Endangerment with potential for serious harm/death,Number,1
Recorded crime incidents,2010Q4,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,6
Recorded crime incidents,2010Q4,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Endangering traffic offences,Number,19
Recorded crime incidents,2010Q4,40 Southern Region,Kidnapping and related offences,Number,4
Recorded crime incidents,2010Q4,40 Southern Region,False imprisonment,Number,1
Recorded crime incidents,2010Q4,40 Southern Region,Abduction of person under 16 years of age,Number,2
Recorded crime incidents,2010Q4,40 Southern Region,Human trafficking offences,Number,1
Recorded crime incidents,2010Q4,40 Southern Region,"Robbery, extortion and hijacking offences",Number,96
Recorded crime incidents,2010Q4,40 Southern Region,Robbery of an establishment or institution,Number,26
Recorded crime incidents,2010Q4,40 Southern Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Robbery from the person,Number,63
Recorded crime incidents,2010Q4,40 Southern Region,Blackmail or extortion,Number,3
Recorded crime incidents,2010Q4,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,4
Recorded crime incidents,2010Q4,40 Southern Region,Burglary and related offences,Number,1079
Recorded crime incidents,2010Q4,40 Southern Region,Aggravated burglary,Number,10
Recorded crime incidents,2010Q4,40 Southern Region,Burglary (not aggravated),Number,1057
Recorded crime incidents,2010Q4,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,12
Recorded crime incidents,2010Q4,40 Southern Region,Theft and related offences,Number,3377
Recorded crime incidents,2010Q4,40 Southern Region,Theft/taking of vehicle and related offences,Number,501
Recorded crime incidents,2010Q4,40 Southern Region,Theft from person,Number,87
Recorded crime incidents,2010Q4,40 Southern Region,Theft from shop,Number,1137
Recorded crime incidents,2010Q4,40 Southern Region,"Other thefts, handling stolen property",Number,1652
Recorded crime incidents,2010Q4,40 Southern Region,"Fraud, deception and related offences",Number,209
Recorded crime incidents,2010Q4,40 Southern Region,Controlled drug offences,Number,1043
Recorded crime incidents,2010Q4,40 Southern Region,Importation of drugs,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Cultivation or manufacture of drugs,Number,45
Recorded crime incidents,2010Q4,40 Southern Region,Possession of drugs for sale or supply,Number,202
Recorded crime incidents,2010Q4,40 Southern Region,Possession of drugs for personal use,Number,765
Recorded crime incidents,2010Q4,40 Southern Region,Other drug offences,Number,31
Recorded crime incidents,2010Q4,40 Southern Region,Weapons and Explosives Offences,Number,272
Recorded crime incidents,2010Q4,40 Southern Region,"Explosives, chemical weapons offences",Number,2
Recorded crime incidents,2010Q4,40 Southern Region,Discharging a firearm,Number,9
Recorded crime incidents,2010Q4,40 Southern Region,Possession of a firearm,Number,53
Recorded crime incidents,2010Q4,40 Southern Region,Offensive weapons offences (n.e.c.),Number,136
Recorded crime incidents,2010Q4,40 Southern Region,Fireworks offences,Number,72
Recorded crime incidents,2010Q4,40 Southern Region,Damage to property and to the environment,Number,2038
Recorded crime incidents,2010Q4,40 Southern Region,Arson,Number,175
Recorded crime incidents,2010Q4,40 Southern Region,Criminal damage (not arson),Number,1848
Recorded crime incidents,2010Q4,40 Southern Region,Litter offences,Number,15
Recorded crime incidents,2010Q4,40 Southern Region,Public order and other social code offences,Number,3756
Recorded crime incidents,2010Q4,40 Southern Region,Disorderly conduct,Number,3333
Recorded crime incidents,2010Q4,40 Southern Region,Trespass offences,Number,137
Recorded crime incidents,2010Q4,40 Southern Region,Liquor licensing offences,Number,228
Recorded crime incidents,2010Q4,40 Southern Region,Prostitution offences,Number,18
Recorded crime incidents,2010Q4,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,22
Recorded crime incidents,2010Q4,40 Southern Region,Social code offences (n.e.c.),Number,18
Recorded crime incidents,2010Q4,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,442
Recorded crime incidents,2010Q4,40 Southern Region,Offences against government and its agents,Number,25
Recorded crime incidents,2010Q4,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded crime incidents,2010Q4,40 Southern Region,Perverting the course of justice,Number,12
Recorded crime incidents,2010Q4,40 Southern Region,"Offences while in custody, breach of court orders",Number,405
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Homicide offences,Number,3
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Murder,Number,2
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Manslaughter,Number,1
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,0
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Sexual offences,Number,162
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Rape and sexual assault,Number,143
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Other sexual offences,Number,19
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1372
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Murder-attempt,Number,1
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,61
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Harassment and related offences,Number,158
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,305
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Other assault,Number,847
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,678
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,1
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,579
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,54
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,8
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,16
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Endangering traffic offences,Number,20
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,12
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,False imprisonment,Number,8
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,1
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Human trafficking offences,Number,3
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,544
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,197
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,10
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Robbery from the person,Number,314
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Blackmail or extortion,Number,2
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,21
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Burglary and related offences,Number,2846
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Aggravated burglary,Number,41
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2711
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,94
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Theft and related offences,Number,9144
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1508
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Theft from person,Number,677
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Theft from shop,Number,2074
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4885
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,750
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Controlled drug offences,Number,1889
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Importation of drugs,Number,11
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,30
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,496
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,1300
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Other drug offences,Number,52
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,443
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,12
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Discharging a firearm,Number,32
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Possession of a firearm,Number,39
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,359
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Fireworks offences,Number,1
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3693
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Arson,Number,172
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3512
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Litter offences,Number,9
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Public order and other social code offences,Number,4219
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Disorderly conduct,Number,3595
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Trespass offences,Number,393
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Liquor licensing offences,Number,113
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Prostitution offences,Number,43
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,35
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,40
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1491
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Offences against government and its agents,Number,20
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,3
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,Perverting the course of justice,Number,7
Recorded crime incidents,2011Q1,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1461
Recorded crime incidents,2011Q1,20 North Western Region,Homicide offences,Number,5
Recorded crime incidents,2011Q1,20 North Western Region,Murder,Number,2
Recorded crime incidents,2011Q1,20 North Western Region,Manslaughter,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,Dangerous driving leading to death,Number,3
Recorded crime incidents,2011Q1,20 North Western Region,Sexual offences,Number,109
Recorded crime incidents,2011Q1,20 North Western Region,Rape and sexual assault,Number,103
Recorded crime incidents,2011Q1,20 North Western Region,Other sexual offences,Number,6
Recorded crime incidents,2011Q1,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,968
Recorded crime incidents,2011Q1,20 North Western Region,Murder-attempt,Number,1
Recorded crime incidents,2011Q1,20 North Western Region,Threat to kill or cause serious harm,Number,7
Recorded crime incidents,2011Q1,20 North Western Region,Harassment and related offences,Number,165
Recorded crime incidents,2011Q1,20 North Western Region,"Assault causing harm, poisoning",Number,209
Recorded crime incidents,2011Q1,20 North Western Region,Other assault,Number,586
Recorded crime incidents,2011Q1,20 North Western Region,Dangerous or negligent acts,Number,593
Recorded crime incidents,2011Q1,20 North Western Region,Dangerous driving causing serious bodily harm,Number,2
Recorded crime incidents,2011Q1,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,557
Recorded crime incidents,2011Q1,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,11
Recorded crime incidents,2011Q1,20 North Western Region,Endangerment with potential for serious harm/death,Number,2
Recorded crime incidents,2011Q1,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,7
Recorded crime incidents,2011Q1,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,Endangering traffic offences,Number,14
Recorded crime incidents,2011Q1,20 North Western Region,Kidnapping and related offences,Number,3
Recorded crime incidents,2011Q1,20 North Western Region,False imprisonment,Number,2
Recorded crime incidents,2011Q1,20 North Western Region,Abduction of person under 16 years of age,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,Human trafficking offences,Number,1
Recorded crime incidents,2011Q1,20 North Western Region,"Robbery, extortion and hijacking offences",Number,47
Recorded crime incidents,2011Q1,20 North Western Region,Robbery of an establishment or institution,Number,23
Recorded crime incidents,2011Q1,20 North Western Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2011Q1,20 North Western Region,Robbery from the person,Number,19
Recorded crime incidents,2011Q1,20 North Western Region,Blackmail or extortion,Number,3
Recorded crime incidents,2011Q1,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,2
Recorded crime incidents,2011Q1,20 North Western Region,Burglary and related offences,Number,986
Recorded crime incidents,2011Q1,20 North Western Region,Aggravated burglary,Number,16
Recorded crime incidents,2011Q1,20 North Western Region,Burglary (not aggravated),Number,958
Recorded crime incidents,2011Q1,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,12
